Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit
Element,Box:face1,Element,Box:face1,Element,Box:face1,Element,Box:face3,Element,Box:face3,Element,Box:face3,Element,Box:face5,Element,Box:face5,Element,Box:face5,Element,Box:face7,Element,Box:face7,Element,Box:face7,Element,Box:face9,Element,Box:face9,Element,Box:face9,Element,Box:face11,Element,Box:face11,Element,Box:face11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power,Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power,Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power,Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power,Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power,Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power
0.0,0.5684299925532497,0.0,0.3148463994066998,0.0,0.0,0.0,0.5746067670828814,0.0,0.3181112181022798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.067656235029062,0.0,0.5837816824263593,0.0,0.32322168013385955,0.0,0.0,0.0,1.853665974923076,0.0,1.0220182130339817,0.0,0.0,0.0,0.5696104021504167,0.0,0.3153528926320223,0.0,0.0
113.49153348510141,0.5570643040890533,113.49153348510141,0.3148463994066997,113.49153348510141,0.0,113.49153348510141,0.5701476032546271,113.49153348510141,0.3181112181022798,113.49153348510141,0.0,113.49153348510141,0.0,113.49153348510141,0.0,113.49153348510141,7.011920468599319,113.49153348510141,0.5791505087857506,113.49153348510141,0.32322168013385955,113.49153348510141,0.0,113.49153348510141,1.8392485344996503,113.49153348510141,1.0220182130339817,113.49153348510141,0.0,113.49153348510141,0.5719100878138481,113.49153348510141,0.3153528926320224,113.49153348510141,0.8858532601863458
226.98306697020283,0.5369125792305331,226.98306697020283,0.3148463994066998,226.98306697020283,0.0,226.98306697020283,0.556696047567222,226.98306697020283,0.3181112181022798,226.98306697020283,0.0,226.98306697020283,0.0,226.98306697020283,0.0,226.98306697020283,6.845592399744578,226.98306697020283,0.5653849491574436,226.98306697020283,0.32322168013385955,226.98306697020283,0.0,226.98306697020283,1.7958223892415304,226.98306697020283,1.0220182130339817,226.98306697020283,0.0,226.98306697020283,0.5651895786877033,226.98306697020283,0.3153528926320223,226.98306697020283,1.7577341531357742
340.47460045530426,0.5082926944494796,340.47460045530426,0.3148463994066997,340.47460045530426,0.0,340.47460045530426,0.5344642972319789,340.47460045530426,0.3181112181022798,340.47460045530426,0.0,340.47460045530426,0.0,340.47460045530426,0.0,340.47460045530426,6.571295838439042,340.47460045530426,0.5427021539169108,340.47460045530426,0.32322168013385955,340.47460045530426,0.0,340.47460045530426,1.7240725830332742,340.47460045530426,1.0220182130339817,340.47460045530426,0.0,340.47460045530426,0.5495549051164422,340.47460045530426,0.31535289263202243,340.47460045530426,2.601890785612594
453.96613394040565,0.4716561067376237,453.96613394040565,0.31484639940669945,453.96613394040565,0.0,453.96613394040565,0.5038030531748336,453.96613394040565,0.31811121810227955,453.96613394040565,0.0,453.96613394040565,0.0,453.96613394040565,0.0,453.96613394040565,6.193357750081758,453.96613394040565,0.5114599389010158,453.96613394040565,0.32322168013385916,453.96613394040565,0.0,453.96613394040565,1.625130953067646,453.96613394040565,1.0220182130339814,453.96613394040565,0.0,453.96613394040565,0.5252527154246284,453.96613394040565,0.315352892632022,453.96613394040565,3.405008727747685
